,VV,VH,ratio
med,-3.7551794052124023,-2.246965169906616,-1.5142076015472412
qmin,-5.7809295654296875,-3.768258810043335,-3.211071252822876
qmax,-2.4399311542510986,-1.0318946838378906,-0.174086332321167
