,dew_temp,prec,sol_rad,temp_max,temp_mean,temp_min,vap_press,wind_speed
med,27947.66015625,52.0,12552083.0,28816.84375,28393.2578125,27982.5546875,9618.49609375,245.69976806640625
qmin,26655.541015625,0.0,1932976.0,27373.390625,27058.60546875,26730.759765625,3799.3720703125,106.55682373046875
qmax,28883.90234375,1277.0,25775438.0,30177.75,29600.291015625,29064.443359375,17743.544921875,567.7232666015625
