,VV,VH,ratio,angle
med,-0.9671186208724976,-1.6097209453582764,-0.6400625705718994,0.7704038023948669
qmin,-1.6232051849365234,-2.4282705783843994,-1.3512961864471436,0.39574891328811646
qmax,-0.38241294026374817,-0.9166959524154663,0.0,0.9257873296737671
